epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
0	42	2.2082	0.00000	0.0000	0.00000	2.5700	0.00000
1	85	1.9636	0.00000	0.0000	0.00000	2.3005	0.00000
2	127	1.8587	0.00000	0.0000	0.00000	1.9669	0.00000
3	170	1.7874	0.00000	0.0000	0.00000	1.7785	0.00000
4	212	1.7261	0.00000	0.0000	0.00000	1.6437	0.00000
5	255	1.6652	0.00000	0.0000	0.00000	1.5140	0.00000
6	297	1.6006	0.00000	0.0000	0.00000	1.4240	0.00000
7	340	1.5467	0.00000	0.0000	0.00000	1.3818	0.00000
8	383	1.4955	0.00000	0.0000	0.00000	1.2938	0.00000
9	425	1.4330	0.00000	0.0000	0.00000	1.1684	0.00000
10	468	1.3758	0.00000	0.0000	0.00000	1.1281	0.00000
11	510	1.3317	0.00000	0.0000	0.00000	1.1398	0.00000
12	552	1.2890	0.00000	0.0000	0.00000	1.0313	0.00000
13	595	1.2464	0.00000	0.0000	0.00000	1.0160	0.00000
14	637	1.2138	0.00000	0.0000	0.00000	0.9876	0.00000
15	679	1.1750	0.00000	0.0000	0.00000	0.9697	0.00000
16	721	1.1466	0.00000	0.0000	0.00000	1.0044	0.00000
17	764	1.1185	0.00000	0.0000	0.00000	0.8840	0.00000
18	806	1.0927	0.00000	0.0000	0.00000	0.9524	0.00000
19	848	1.0629	0.00000	0.0000	0.00000	0.8618	0.00000
20	890	1.0420	0.00000	0.0000	0.00000	0.8694	0.00000
21	933	1.0212	0.00000	0.0000	0.00000	0.8500	0.00000
22	975	0.9994	0.00000	0.0000	0.00000	0.8207	0.00000
23	1018	0.9877	0.00000	0.0000	0.00000	0.7806	0.00000
24	1060	0.9710	0.00000	0.0000	0.00000	0.7497	0.00000
25	1102	0.9480	0.00000	0.0000	0.00000	0.7742	0.00000
26	1145	0.9341	0.00000	0.0000	0.00000	0.7352	0.00000
27	1187	0.9106	0.00000	0.0000	0.00000	0.7240	0.00000
28	1229	0.9069	0.00000	0.0000	0.00000	0.7163	0.00000
29	1272	0.8802	0.00000	0.0000	0.00000	0.6839	0.00000
30	1314	0.8691	0.00000	0.0000	0.00000	0.7007	0.00000
31	1356	0.8562	0.00000	0.0000	0.00000	0.7033	0.00000
32	1399	0.8426	0.00000	0.0000	0.00000	0.6475	0.00000
33	1441	0.8293	0.00000	0.0000	0.00000	0.6583	0.00000
34	1483	0.8150	0.00000	0.0000	0.00000	0.6439	0.00000
35	1526	0.8036	0.00000	0.0000	0.00000	0.6075	0.00000
36	1568	0.7846	0.00000	0.0000	0.00000	0.6152	0.00000
37	1610	0.7783	0.00000	0.0000	0.00000	0.5745	0.00000
38	1652	0.7613	0.00000	0.0000	0.00000	0.5899	0.00000
39	1695	0.7516	0.00000	0.0000	0.00000	0.5735	0.00000
40	1737	0.7395	0.00000	0.0000	0.00000	0.5614	0.00000
41	1779	0.7335	0.00000	0.0000	0.00000	0.5481	0.00000
42	1822	0.7266	0.00000	0.0000	0.00000	0.5376	0.00000
43	1864	0.7096	0.00000	0.0000	0.00000	0.5399	0.00000
44	1906	0.7125	0.00000	0.0000	0.00000	0.5230	0.00000
45	1948	0.7000	0.00000	0.0000	0.00000	0.5216	0.00000
46	1991	0.6884	0.00000	0.0000	0.00000	0.5185	0.00000
47	2033	0.6829	0.00000	0.0000	0.00000	0.5237	0.00000
48	2075	0.6704	0.00000	0.0000	0.00000	0.5599	0.00000
49	2118	0.6637	0.00000	0.0000	0.00000	0.5119	0.00000
50	2160	0.6580	0.00000	0.0000	0.00000	0.5020	0.00000
51	2202	0.6494	0.00000	0.0000	0.00000	0.5230	0.00000
52	2245	0.6442	0.00000	0.0000	0.00000	0.5285	0.00000
53	2287	0.6389	0.00000	0.0000	0.00000	0.4967	0.00000
54	2329	0.6382	0.00000	0.0000	0.00000	0.4706	0.00000
55	2372	0.6290	0.00000	0.0000	0.00000	0.4663	0.00000
56	2414	0.6218	0.00000	0.0000	0.00000	0.4801	0.00000
57	2456	0.6179	0.00000	0.0000	0.00000	0.5098	0.00000
58	2499	0.6117	0.00000	0.0000	0.00000	0.4651	0.00000
59	2541	0.6046	0.00000	0.0000	0.00000	0.4808	0.00000
60	2583	0.5996	0.00000	0.0000	0.00000	0.4411	0.00000
61	2626	0.5932	0.00000	0.0000	0.00000	0.4405	0.00000
62	2668	0.5852	0.00000	0.0000	0.00000	0.4350	0.00000
63	2710	0.5810	0.00000	0.0000	0.00000	0.4459	0.00000
64	2753	0.5847	0.00000	0.0000	0.00000	0.4810	0.00000
65	2795	0.5722	0.00000	0.0000	0.00000	0.4636	0.00000
66	2837	0.5685	0.00000	0.0000	0.00000	0.4594	0.00000
67	2879	0.5640	0.00000	0.0000	0.00000	0.4433	0.00000
68	2922	0.5627	0.00000	0.0000	0.00000	0.4324	0.00000
69	2964	0.5581	0.00000	0.0000	0.00000	0.4258	0.00000
70	3006	0.5512	0.00000	0.0000	0.00000	0.4227	0.00000
71	3049	0.5437	0.00000	0.0000	0.00000	0.4227	0.00000
72	3091	0.5446	0.00000	0.0000	0.00000	0.4075	0.00000
73	3133	0.5351	0.00000	0.0000	0.00000	0.4272	0.00000
74	3176	0.5309	0.00000	0.0000	0.00000	0.4142	0.00000
75	3218	0.5283	0.00000	0.0000	0.00000	0.4099	0.00000
76	3260	0.5258	0.00000	0.0000	0.00000	0.4161	0.00000
77	3302	0.5284	0.00000	0.0000	0.00000	0.3979	0.00000
78	3345	0.5214	0.00000	0.0000	0.00000	0.3985	0.00000
79	3387	0.5123	0.00000	0.0000	0.00000	0.3966	0.00000
80	3429	0.5166	0.00000	0.0000	0.00000	0.3903	0.00000
81	3472	0.5105	0.00000	0.0000	0.00000	0.3930	0.00000
82	3514	0.5076	0.00000	0.0000	0.00000	0.3857	0.00000
83	3556	0.5035	0.00000	0.0000	0.00000	0.3948	0.00000
84	3599	0.4998	0.00000	0.0000	0.00000	0.3882	0.00000
85	3641	0.5019	0.00000	0.0000	0.00000	0.3851	0.00000
86	3683	0.4898	0.00000	0.0000	0.00000	0.3828	0.00000
87	3726	0.4883	0.00000	0.0000	0.00000	0.3834	0.00000
88	3768	0.4873	0.00000	0.0000	0.00000	0.3796	0.00000
89	3811	0.4845	0.00000	0.0000	0.00000	0.3748	0.00000
90	3854	0.4827	0.00000	0.0000	0.00000	0.3736	0.00000
91	3896	0.4721	0.00000	0.0000	0.00000	0.3819	0.00000
92	3939	0.4750	0.00000	0.0000	0.00000	0.3619	0.00000
93	3981	0.4735	0.00000	0.0000	0.00000	0.3644	0.00000
94	4024	0.4732	0.00000	0.0000	0.00000	0.3908	0.00000
95	4067	0.4699	0.00000	0.0000	0.00000	0.3993	0.00000
96	4110	0.4611	0.00000	0.0000	0.00000	0.3950	0.00000
97	4153	0.4631	0.00000	0.0000	0.00000	0.3797	0.00000
98	4196	0.4631	0.00000	0.0000	0.00000	0.3501	0.00000
99	4239	0.4555	0.00000	0.0000	0.00000	0.3542	0.00000
100	4282	0.4518	0.00000	0.0000	0.00000	0.3527	0.00000
101	4325	0.4539	0.00000	0.0000	0.00000	0.3549	0.00000
102	4368	0.4457	0.00000	0.0000	0.00000	0.3515	0.00000
103	4411	0.4511	0.00000	0.0000	0.00000	0.3632	0.00000
104	4454	0.4426	0.00000	0.0000	0.00000	0.3633	0.00000
105	4497	0.4436	0.00000	0.0000	0.00000	0.3465	0.00000
106	4539	0.4415	0.00000	0.0000	0.00000	0.3435	0.00000
107	4582	0.4423	0.00000	0.0000	0.00000	0.3478	0.00000
108	4625	0.4384	0.00000	0.0000	0.00000	0.3546	0.00000
109	4668	0.4365	0.00000	0.0000	0.00000	0.3799	0.00000
110	4710	0.4282	0.00000	0.0000	0.00000	0.3616	0.00000
111	4753	0.4291	0.00000	0.0000	0.00000	0.3793	0.00000
112	4795	0.4284	0.00000	0.0000	0.00000	0.3592	0.00000
113	4838	0.4270	0.00000	0.0000	0.00000	0.3329	0.00000
114	4880	0.4294	0.00000	0.0000	0.00000	0.3465	0.00000
115	4923	0.4204	0.00000	0.0000	0.00000	0.3372	0.00000
116	4965	0.4192	0.00000	0.0000	0.00000	0.3372	0.00000
117	5008	0.4187	0.00000	0.0000	0.00000	0.3309	0.00000
118	5050	0.4129	0.00000	0.0000	0.00000	0.3340	0.00000
119	5093	0.4185	0.00000	0.0000	0.00000	0.3363	0.00000
120	5135	0.4119	0.00000	0.0000	0.00000	0.3499	0.00000
121	5177	0.4024	0.00000	0.0000	0.00000	0.3607	0.00000
122	5220	0.4077	0.00000	0.0000	0.00000	0.3317	0.00000
123	5262	0.4074	0.00000	0.0000	0.00000	0.3303	0.00000
124	5305	0.4016	0.00000	0.0000	0.00000	0.3338	0.00000
125	5347	0.4005	0.00000	0.0000	0.00000	0.3317	0.00000
126	5389	0.4034	0.00000	0.0000	0.00000	0.3274	0.00000
127	5432	0.3956	0.00000	0.0000	0.00000	0.3506	0.00000
128	5474	0.3960	0.00000	0.0000	0.00000	0.3488	0.00000
129	5516	0.3886	0.00000	0.0000	0.00000	0.3292	0.00000
130	5559	0.3879	0.00000	0.0000	0.00000	0.3317	0.00000
131	5601	0.3947	0.00000	0.0000	0.00000	0.3317	0.00000
132	5643	0.3902	0.00000	0.0000	0.00000	0.3264	0.00000
133	5686	0.3876	0.00000	0.0000	0.00000	0.3201	0.00000
134	5728	0.3859	0.00000	0.0000	0.00000	0.3465	0.00000
135	5771	0.3851	0.00000	0.0000	0.00000	0.3166	0.00000
136	5813	0.3826	0.00000	0.0000	0.00000	0.3158	0.00000
137	5855	0.3857	0.00000	0.0000	0.00000	0.3338	0.00000
138	5898	0.3822	0.00000	0.0000	0.00000	0.3161	0.00000
139	5940	0.3825	0.00000	0.0000	0.00000	0.3422	0.00000
140	5983	0.3805	0.00000	0.0000	0.00000	0.3370	0.00000
141	6025	0.3741	0.00000	0.0000	0.00000	0.3242	0.00000
142	6067	0.3751	0.00000	0.0000	0.00000	0.3259	0.00000
143	6109	0.3735	0.00000	0.0000	0.00000	0.3189	0.00000
144	6152	0.3689	0.00000	0.0000	0.00000	0.3196	0.00000
145	6194	0.3769	0.00000	0.0000	0.00000	0.3128	0.00000
146	6237	0.3694	0.00000	0.0000	0.00000	0.3106	0.00000
147	6279	0.3674	0.00000	0.0000	0.00000	0.3204	0.00000
148	6321	0.3657	0.00000	0.0000	0.00000	0.3221	0.00000
149	6364	0.3686	0.00000	0.0000	0.00000	0.3094	0.00000
150	6406	0.3645	0.00000	0.0000	0.00000	0.3128	0.00000
151	6449	0.3610	0.00000	0.0000	0.00000	0.3109	0.00000
152	6491	0.3550	0.00000	0.0000	0.00000	0.3200	0.00000
153	6533	0.3609	0.00000	0.0000	0.00000	0.3218	0.00000
154	6576	0.3564	0.00000	0.0000	0.00000	0.3120	0.00000
155	6618	0.3585	0.00000	0.0000	0.00000	0.3080	0.00000
156	6660	0.3581	0.00000	0.0000	0.00000	0.3090	0.00000
157	6703	0.3532	0.00000	0.0000	0.00000	0.3056	0.00000
158	6745	0.3552	0.00000	0.0000	0.00000	0.3057	0.00000
159	6787	0.3464	0.00000	0.0000	0.00000	0.2995	0.00000
160	6830	0.3508	0.00000	0.0000	0.00000	0.3005	0.00000
161	6872	0.3514	0.00000	0.0000	0.00000	0.2988	0.00000
162	6915	0.3465	0.00000	0.0000	0.00000	0.3034	0.00000
163	6957	0.3505	0.00000	0.0000	0.00000	0.3123	0.00000
164	6999	0.3439	0.00000	0.0000	0.00000	0.3119	0.00000
165	7042	0.3447	0.00000	0.0000	0.00000	0.3134	0.00000
166	7084	0.3391	0.00000	0.0000	0.00000	0.3017	0.00000
167	7126	0.3442	0.00000	0.0000	0.00000	0.3176	0.00000
168	7169	0.3401	0.00000	0.0000	0.00000	0.3046	0.00000
169	7211	0.3387	0.00000	0.0000	0.00000	0.3084	0.00000
170	7253	0.3388	0.00000	0.0000	0.00000	0.2982	0.00000
171	7296	0.3380	0.00000	0.0000	0.00000	0.3027	0.00000
172	7338	0.3304	0.00000	0.0000	0.00000	0.3009	0.00000
173	7380	0.3350	0.00000	0.0000	0.00000	0.3035	0.00000
174	7423	0.3358	0.00000	0.0000	0.00000	0.3016	0.00000
175	7465	0.3321	0.00000	0.0000	0.00000	0.2955	0.00000
176	7507	0.3290	0.00000	0.0000	0.00000	0.2926	0.00000
177	7550	0.3349	0.00000	0.0000	0.00000	0.2941	0.00000
178	7592	0.3256	0.00000	0.0000	0.00000	0.2981	0.00000
179	7634	0.3224	0.00000	0.0000	0.00000	0.3107	0.00000
180	7677	0.3255	0.00000	0.0000	0.00000	0.3066	0.00000
181	7719	0.3231	0.00000	0.0000	0.00000	0.3444	0.00000
182	7761	0.3250	0.00000	0.0000	0.00000	0.2923	0.00000
183	7804	0.3211	0.00000	0.0000	0.00000	0.2905	0.00000
184	7846	0.3207	0.00000	0.0000	0.00000	0.2965	0.00000
185	7888	0.3156	0.00000	0.0000	0.00000	0.2962	0.00000
186	7931	0.3195	0.00000	0.0000	0.00000	0.2960	0.00000
187	7973	0.3253	0.00000	0.0000	0.00000	0.2907	0.00000
188	8016	0.3175	0.00000	0.0000	0.00000	0.2950	0.00000
189	8058	0.3180	0.00000	0.0000	0.00000	0.2858	0.00000
190	8100	0.3144	0.00000	0.0000	0.00000	0.2923	0.00000
191	8143	0.3180	0.00000	0.0000	0.00000	0.2967	0.00000
192	8185	0.3134	0.00000	0.0000	0.00000	0.2955	0.00000
193	8227	0.3095	0.00000	0.0000	0.00000	0.3033	0.00000
194	8270	0.3109	0.00000	0.0000	0.00000	0.3016	0.00000
195	8312	0.3101	0.00000	0.0000	0.00000	0.2888	0.00000
196	8354	0.3138	0.00000	0.0000	0.00000	0.3040	0.00000
197	8397	0.3102	0.00000	0.0000	0.00000	0.2883	0.00000
198	8439	0.3057	0.00000	0.0000	0.00000	0.2822	0.00000
199	8481	0.3087	0.00000	0.0000	0.00000	0.2888	0.00000
200	8524	0.3021	0.00000	0.0000	0.00000	0.2804	0.00000
201	8566	0.3091	0.00000	0.0000	0.00000	0.2809	0.00000
202	8609	0.2998	0.00000	0.0000	0.00000	0.2864	0.00000
203	8651	0.3039	0.00000	0.0000	0.00000	0.2819	0.00000
204	8694	0.3043	0.00000	0.0000	0.00000	0.2983	0.00000
205	8736	0.3040	0.00000	0.0000	0.00000	0.2912	0.00000
206	8778	0.3047	0.00000	0.0000	0.00000	0.2950	0.00000
207	8821	0.2988	0.00000	0.0000	0.00000	0.2776	0.00000
208	8863	0.3033	0.00000	0.0000	0.00000	0.2932	0.00000
209	8905	0.3011	0.00000	0.0000	0.00000	0.2790	0.00000
210	8948	0.2969	0.00000	0.0000	0.00000	0.2920	0.00000
211	8990	0.2971	0.00000	0.0000	0.00000	0.2909	0.00000
212	9033	0.2994	0.00000	0.0000	0.00000	0.2743	0.00000
213	9075	0.2959	0.00000	0.0000	0.00000	0.2899	0.00000
214	9117	0.2948	0.00000	0.0000	0.00000	0.2830	0.00000
215	9160	0.2900	0.00000	0.0000	0.00000	0.2810	0.00000
216	9202	0.2925	0.00000	0.0000	0.00000	0.2927	0.00000
217	9245	0.2904	0.00000	0.0000	0.00000	0.2767	0.00000
218	9287	0.2924	0.00000	0.0000	0.00000	0.2800	0.00000
219	9329	0.2893	0.00000	0.0000	0.00000	0.2877	0.00000
220	9372	0.2870	0.00000	0.0000	0.00000	0.2904	0.00000
221	9414	0.2900	0.00000	0.0000	0.00000	0.2801	0.00000
222	9456	0.2853	0.00000	0.0000	0.00000	0.2863	0.00000
223	9499	0.2848	0.00000	0.0000	0.00000	0.2898	0.00000
224	9541	0.2859	0.00000	0.0000	0.00000	0.2955	0.00000
225	9583	0.2817	0.00000	0.0000	0.00000	0.2790	0.00000
226	9626	0.2814	0.00000	0.0000	0.00000	0.2872	0.00000
227	9668	0.2866	0.00000	0.0000	0.00000	0.2807	0.00000
228	9711	0.2829	0.00000	0.0000	0.00000	0.2794	0.00000
229	9753	0.2848	0.00000	0.0000	0.00000	0.2885	0.00000
230	9795	0.2804	0.00000	0.0000	0.00000	0.2900	0.00000
231	9838	0.2835	0.00000	0.0000	0.00000	0.2826	0.00000
232	9880	0.2754	0.00000	0.0000	0.00000	0.3059	0.00000
233	9922	0.2819	0.00000	0.0000	0.00000	0.2835	0.00000
234	9965	0.2761	0.00000	0.0000	0.00000	0.2762	0.00000
235	10007	0.2777	0.00000	0.0000	0.00000	0.2839	0.00000
236	10049	0.2745	0.00000	0.0000	0.00000	0.2760	0.00000
237	10092	0.2763	0.00000	0.0000	0.00000	0.2829	0.00000
238	10134	0.2768	0.00000	0.0000	0.00000	0.2765	0.00000
239	10177	0.2744	0.00000	0.0000	0.00000	0.2846	0.00000
240	10219	0.2708	0.00000	0.0000	0.00000	0.2822	0.00000
241	10261	0.2722	0.00000	0.0000	0.00000	0.2803	0.00000
242	10304	0.2793	0.00000	0.0000	0.00000	0.2725	0.00000
243	10346	0.2701	0.00000	0.0000	0.00000	0.2770	0.00000
