epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
0	65	2.2803	0.14254	0.0000	0.00000	2.3172	0.09950
1	128	2.2546	0.16848	0.0000	0.00000	2.3213	0.10000
2	200	2.2429	0.18372	0.0000	0.00000	2.3111	0.11390
3	269	2.2236	0.21362	0.0000	0.00000	2.2813	0.15480
4	333	2.2039	0.23884	0.0000	0.00000	2.2494	0.19060
5	397	2.1827	0.26328	0.0000	0.00000	2.2496	0.18810
6	462	2.1666	0.27824	0.0000	0.00000	2.2034	0.22990
7	524	2.1516	0.29468	0.0000	0.00000	2.1899	0.25290
8	587	2.1417	0.30580	0.0000	0.00000	2.1555	0.29280
9	649	2.1301	0.31654	0.0000	0.00000	2.1251	0.32430
10	712	2.1212	0.32960	0.0000	0.00000	2.1081	0.33990
11	775	2.1130	0.33776	0.0000	0.00000	2.1299	0.31820
12	848	2.0978	0.35584	0.0000	0.00000	2.0906	0.36870
13	922	2.0865	0.36662	0.0000	0.00000	2.0653	0.39330
14	989	2.0749	0.37942	0.0000	0.00000	2.0443	0.41190
15	1062	2.0640	0.39062	0.0000	0.00000	2.0284	0.42880
16	1136	2.0543	0.39998	0.0000	0.00000	2.0275	0.42790
17	1209	2.0460	0.40814	0.0000	0.00000	2.0066	0.45180
18	1281	2.0352	0.41994	0.0000	0.00000	1.9758	0.48190
19	1356	2.0312	0.42390	0.0000	0.00000	1.9802	0.47550
20	1432	2.0219	0.43408	0.0000	0.00000	1.9597	0.49610
21	1505	2.0129	0.44308	0.0000	0.00000	1.9569	0.50180
22	1579	2.0044	0.45240	0.0000	0.00000	1.9760	0.48240
23	1652	1.9970	0.45966	0.0000	0.00000	1.9380	0.52190
24	1727	1.9922	0.46458	0.0000	0.00000	1.9291	0.53050
25	1797	1.9834	0.47398	0.0000	0.00000	1.9206	0.53810
26	1866	1.9794	0.47810	0.0000	0.00000	1.9269	0.52850
27	1933	1.9731	0.48356	0.0000	0.00000	1.9101	0.54810
28	2002	1.9657	0.49150	0.0000	0.00000	1.9239	0.53370
29	2072	1.9586	0.49952	0.0000	0.00000	1.9024	0.55510
30	2140	1.9507	0.50656	0.0000	0.00000	1.8972	0.56090
31	2208	1.9471	0.51058	0.0000	0.00000	1.8875	0.56980
32	2272	1.9434	0.51408	0.0000	0.00000	1.8862	0.57180
33	2334	1.9395	0.51810	0.0000	0.00000	1.8778	0.58110
34	2397	1.9356	0.52248	0.0000	0.00000	1.8654	0.59250
35	2460	1.9278	0.53040	0.0000	0.00000	1.8655	0.59160
36	2521	1.9256	0.53200	0.0000	0.00000	1.8599	0.59940
37	2585	1.9239	0.53340	0.0000	0.00000	1.8577	0.60000
38	2651	1.9179	0.53906	0.0000	0.00000	1.8574	0.60010
39	2723	1.9151	0.54258	0.0000	0.00000	1.8474	0.61100
40	2794	1.9082	0.54962	0.0000	0.00000	1.8430	0.61690
41	2865	1.9055	0.55246	0.0000	0.00000	1.8399	0.61930
42	2935	1.8966	0.56200	0.0000	0.00000	1.8319	0.62610
43	3006	1.8941	0.56456	0.0000	0.00000	1.8309	0.62670
44	3076	1.8880	0.57100	0.0000	0.00000	1.8207	0.63810
45	3149	1.8838	0.57520	0.0000	0.00000	1.8276	0.63050
46	3222	1.8807	0.57782	0.0000	0.00000	1.8039	0.65540
47	3292	1.8769	0.58236	0.0000	0.00000	1.8078	0.64920
48	3361	1.8712	0.58794	0.0000	0.00000	1.7964	0.66220
49	3431	1.8687	0.59064	0.0000	0.00000	1.7981	0.65980
50	3500	1.8651	0.59332	0.0000	0.00000	1.7970	0.66390
51	3569	1.8622	0.59720	0.0000	0.00000	1.7874	0.67200
52	3638	1.8578	0.60122	0.0000	0.00000	1.8007	0.65780
53	3708	1.8554	0.60292	0.0000	0.00000	1.7768	0.68330
54	3773	1.8498	0.60928	0.0000	0.00000	1.7783	0.68050
55	3837	1.8489	0.60952	0.0000	0.00000	1.7803	0.67950
56	3898	1.8459	0.61284	0.0000	0.00000	1.7731	0.68620
57	3960	1.8396	0.62006	0.0000	0.00000	1.7762	0.68360
58	4021	1.8390	0.62066	0.0000	0.00000	1.7741	0.68550
59	4081	1.8357	0.62364	0.0000	0.00000	1.7674	0.69180
60	4142	1.8324	0.62782	0.0000	0.00000	1.7574	0.70140
61	4201	1.8296	0.63012	0.0000	0.00000	1.7568	0.70310
62	4271	1.8272	0.63176	0.0000	0.00000	1.7524	0.70720
63	4354	1.8271	0.63180	0.0000	0.00000	1.7566	0.70400
64	4434	1.8219	0.63746	0.0000	0.00000	1.7581	0.70090
65	4515	1.8195	0.63964	0.0000	0.00000	1.7511	0.70830
66	4596	1.8165	0.64298	0.0000	0.00000	1.7490	0.71110
67	4673	1.8178	0.64086	0.0000	0.00000	1.7429	0.71710
68	4754	1.8139	0.64540	0.0000	0.00000	1.7517	0.70870
69	4836	1.8107	0.64872	0.0000	0.00000	1.7475	0.71110
70	4919	1.8079	0.65064	0.0000	0.00000	1.7345	0.72500
71	5006	1.8085	0.65028	0.0000	0.00000	1.7350	0.72510
72	5090	1.8076	0.65140	0.0000	0.00000	1.7319	0.72650
73	5173	1.7995	0.66004	0.0000	0.00000	1.7271	0.73340
74	5255	1.7968	0.66270	0.0000	0.00000	1.7306	0.72920
75	5336	1.7948	0.66388	0.0000	0.00000	1.7229	0.73660
76	5422	1.7977	0.66088	0.0000	0.00000	1.7191	0.74020
77	5508	1.7943	0.66536	0.0000	0.00000	1.7237	0.73660
78	5591	1.7918	0.66718	0.0000	0.00000	1.7203	0.73920
79	5674	1.7877	0.67218	0.0000	0.00000	1.7216	0.73730
80	5755	1.7883	0.67140	0.0000	0.00000	1.7156	0.74360
81	5838	1.7848	0.67512	0.0000	0.00000	1.7105	0.74790
82	5919	1.7823	0.67676	0.0000	0.00000	1.7215	0.73720
83	5999	1.7820	0.67714	0.0000	0.00000	1.7275	0.73170
84	6070	1.7779	0.68206	0.0000	0.00000	1.7161	0.74260
85	6137	1.7746	0.68496	0.0000	0.00000	1.7077	0.75080
86	6219	1.7739	0.68588	0.0000	0.00000	1.7047	0.75450
87	6300	1.7724	0.68736	0.0000	0.00000	1.7057	0.75310
88	6381	1.7693	0.69150	0.0000	0.00000	1.6996	0.76040
89	6457	1.7670	0.69282	0.0000	0.00000	1.7021	0.75640
90	6529	1.7680	0.69160	0.0000	0.00000	1.6953	0.76460
91	6598	1.7654	0.69358	0.0000	0.00000	1.6941	0.76620
92	6661	1.7650	0.69410	0.0000	0.00000	1.6950	0.76580
93	6726	1.7614	0.69870	0.0000	0.00000	1.6982	0.76140
94	6788	1.7583	0.70114	0.0000	0.00000	1.6923	0.76780
95	6853	1.7574	0.70236	0.0000	0.00000	1.6899	0.77010
96	6932	1.7544	0.70552	0.0000	0.00000	1.6828	0.77780
97	7015	1.7576	0.70230	0.0000	0.00000	1.6871	0.77330
98	7099	1.7526	0.70702	0.0000	0.00000	1.6808	0.77760
99	7181	1.7527	0.70702	0.0000	0.00000	1.6847	0.77530
100	7266	1.7495	0.71048	0.0000	0.00000	1.6825	0.77800
101	7349	1.7506	0.70880	0.0000	0.00000	1.6792	0.78090
102	7431	1.7449	0.71408	0.0000	0.00000	1.6761	0.78420
103	7518	1.7459	0.71398	0.0000	0.00000	1.6793	0.78030
104	7605	1.7445	0.71566	0.0000	0.00000	1.6814	0.77880
105	7686	1.7419	0.71774	0.0000	0.00000	1.6766	0.78390
106	7770	1.7416	0.71786	0.0000	0.00000	1.6722	0.78860
107	7854	1.7386	0.72086	0.0000	0.00000	1.6740	0.78660
108	7927	1.7405	0.71884	0.0000	0.00000	1.6744	0.78530
109	7997	1.7366	0.72326	0.0000	0.00000	1.6651	0.79510
110	8067	1.7369	0.72288	0.0000	0.00000	1.6701	0.78870
111	8154	1.7337	0.72626	0.0000	0.00000	1.6655	0.79460
112	8242	1.7352	0.72452	0.0000	0.00000	1.6648	0.79540
113	8322	1.7319	0.72812	0.0000	0.00000	1.6658	0.79510
114	8406	1.7301	0.73022	0.0000	0.00000	1.6665	0.79360
115	8488	1.7312	0.72944	0.0000	0.00000	1.6627	0.79850
116	8569	1.7284	0.73148	0.0000	0.00000	1.6634	0.79680
117	8651	1.7286	0.73150	0.0000	0.00000	1.6617	0.79810
118	8734	1.7236	0.73630	0.0000	0.00000	1.6608	0.80080
119	8815	1.7254	0.73510	0.0000	0.00000	1.6587	0.80200
120	8896	1.7219	0.73884	0.0000	0.00000	1.6620	0.79840
121	8970	1.7222	0.73778	0.0000	0.00000	1.6569	0.80120
122	9039	1.7214	0.73828	0.0000	0.00000	1.6575	0.80260
123	9110	1.7203	0.73940	0.0000	0.00000	1.6601	0.80100
124	9188	1.7193	0.74060	0.0000	0.00000	1.6638	0.79730
125	9261	1.7193	0.74054	0.0000	0.00000	1.6518	0.80930
126	9330	1.7142	0.74680	0.0000	0.00000	1.6550	0.80610
127	9400	1.7178	0.74262	0.0000	0.00000	1.6517	0.80830
128	9475	1.7134	0.74654	0.0000	0.00000	1.6522	0.80780
129	9553	1.7136	0.74666	0.0000	0.00000	1.6549	0.80530
130	9627	1.7129	0.74720	0.0000	0.00000	1.6473	0.81310
131	9702	1.7125	0.74764	0.0000	0.00000	1.6482	0.81130
132	9772	1.7105	0.74954	0.0000	0.00000	1.6491	0.81130
133	9848	1.7082	0.75228	0.0000	0.00000	1.6463	0.81510
134	9926	1.7090	0.75074	0.0000	0.00000	1.6506	0.80990
135	10001	1.7108	0.74892	0.0000	0.00000	1.6464	0.81420
136	10077	1.7078	0.75194	0.0000	0.00000	1.6491	0.81260
137	10154	1.7054	0.75408	0.0000	0.00000	1.6442	0.81820
138	10231	1.7059	0.75460	0.0000	0.00000	1.6445	0.81660
139	10305	1.7076	0.75192	0.0000	0.00000	1.6433	0.81690
140	10380	1.7043	0.75600	0.0000	0.00000	1.6410	0.81930
141	10455	1.7012	0.75902	0.0000	0.00000	1.6425	0.81800
142	10527	1.7031	0.75760	0.0000	0.00000	1.6435	0.81690
143	10600	1.7014	0.75880	0.0000	0.00000	1.6411	0.81930
144	10674	1.6994	0.76106	0.0000	0.00000	1.6388	0.82180
145	10749	1.6987	0.76162	0.0000	0.00000	1.6395	0.82060
146	10831	1.6986	0.76194	0.0000	0.00000	1.6393	0.82180
147	10913	1.6998	0.76018	0.0000	0.00000	1.6369	0.82480
148	10995	1.6980	0.76220	0.0000	0.00000	1.6365	0.82430
149	11076	1.6960	0.76426	0.0000	0.00000	1.6469	0.81380
150	11160	1.6940	0.76674	0.0000	0.00000	1.6390	0.82140
151	11239	1.6955	0.76456	0.0000	0.00000	1.6300	0.83060
152	11316	1.6942	0.76582	0.0000	0.00000	1.6338	0.82560
153	11396	1.6959	0.76392	0.0000	0.00000	1.6362	0.82340
154	11477	1.6919	0.76882	0.0000	0.00000	1.6358	0.82430
155	11549	1.6936	0.76686	0.0000	0.00000	1.6323	0.82820
156	11614	1.6923	0.76822	0.0000	0.00000	1.6451	0.81620
157	11692	1.6942	0.76594	0.0000	0.00000	1.6381	0.82210
158	11769	1.6882	0.77252	0.0000	0.00000	1.6287	0.83200
159	11845	1.6869	0.77350	0.0000	0.00000	1.6348	0.82600
160	11922	1.6876	0.77286	0.0000	0.00000	1.6348	0.82620
161	11996	1.6898	0.76968	0.0000	0.00000	1.6344	0.82650
162	12070	1.6860	0.77432	0.0000	0.00000	1.6359	0.82460
163	12143	1.6863	0.77382	0.0000	0.00000	1.6313	0.82970
164	12209	1.6854	0.77428	0.0000	0.00000	1.6321	0.82810
165	12285	1.6854	0.77436	0.0000	0.00000	1.6277	0.83260
166	12353	1.6864	0.77358	0.0000	0.00000	1.6303	0.83030
167	12428	1.6875	0.77276	0.0000	0.00000	1.6280	0.83230
168	12504	1.6848	0.77518	0.0000	0.00000	1.6290	0.83170
169	12581	1.6837	0.77676	0.0000	0.00000	1.6247	0.83640
170	12658	1.6817	0.77848	0.0000	0.00000	1.6254	0.83600
171	12736	1.6832	0.77680	0.0000	0.00000	1.6324	0.82910
172	12816	1.6809	0.77900	0.0000	0.00000	1.6225	0.83800
173	12895	1.6809	0.77954	0.0000	0.00000	1.6197	0.84190
174	12973	1.6780	0.78276	0.0000	0.00000	1.6242	0.83630
175	13052	1.6788	0.78182	0.0000	0.00000	1.6270	0.83180
176	13136	1.6787	0.78146	0.0000	0.00000	1.6216	0.83980
177	13211	1.6785	0.78088	0.0000	0.00000	1.6295	0.83070
178	13283	1.6784	0.78188	0.0000	0.00000	1.6245	0.83590
179	13357	1.6792	0.78110	0.0000	0.00000	1.6206	0.84010
180	13430	1.6760	0.78492	0.0000	0.00000	1.6208	0.84060
181	13505	1.6758	0.78408	0.0000	0.00000	1.6235	0.83700
182	13592	1.6757	0.78430	0.0000	0.00000	1.6240	0.83610
183	13677	1.6742	0.78612	0.0000	0.00000	1.6230	0.83750
184	13758	1.6758	0.78420	0.0000	0.00000	1.6228	0.83850
185	13838	1.6718	0.78896	0.0000	0.00000	1.6230	0.83830
186	13920	1.6749	0.78540	0.0000	0.00000	1.6223	0.83880
187	14000	1.6731	0.78734	0.0000	0.00000	1.6202	0.84060
188	14075	1.6703	0.79068	0.0000	0.00000	1.6166	0.84500
189	14152	1.6691	0.79186	0.0000	0.00000	1.6179	0.84300
190	14221	1.6713	0.78900	0.0000	0.00000	1.6254	0.83570
191	14292	1.6711	0.78908	0.0000	0.00000	1.6171	0.84360
192	14377	1.6704	0.78942	0.0000	0.00000	1.6178	0.84280
193	14466	1.6678	0.79254	0.0000	0.00000	1.6225	0.83860
194	14551	1.6693	0.79104	0.0000	0.00000	1.6167	0.84430
195	14634	1.6679	0.79238	0.0000	0.00000	1.6216	0.83800
196	14714	1.6702	0.78978	0.0000	0.00000	1.6242	0.83630
197	14794	1.6698	0.79082	0.0000	0.00000	1.6161	0.84520
198	14879	1.6687	0.79136	0.0000	0.00000	1.6159	0.84460
199	14963	1.6646	0.79616	0.0000	0.00000	1.6130	0.84770
200	15044	1.6670	0.79348	0.0000	0.00000	1.6156	0.84480
201	15124	1.6677	0.79310	0.0000	0.00000	1.6153	0.84610
202	15198	1.6639	0.79666	0.0000	0.00000	1.6220	0.83880
203	15282	1.6654	0.79480	0.0000	0.00000	1.6137	0.84750
204	15362	1.6651	0.79500	0.0000	0.00000	1.6127	0.84830
205	15432	1.6631	0.79730	0.0000	0.00000	1.6181	0.84300
206	15490	1.6645	0.79628	0.0000	0.00000	1.6168	0.84180
207	15532	1.6643	0.79578	0.0000	0.00000	1.6154	0.84480
208	15575	1.6625	0.79824	0.0000	0.00000	1.6175	0.84280
209	15617	1.6631	0.79702	0.0000	0.00000	1.6141	0.84650
210	15659	1.6611	0.79908	0.0000	0.00000	1.6144	0.84570
211	15701	1.6611	0.79896	0.0000	0.00000	1.6168	0.84410
212	15744	1.6607	0.79968	0.0000	0.00000	1.6130	0.84790
213	15786	1.6626	0.79786	0.0000	0.00000	1.6151	0.84540
214	15828	1.6591	0.80176	0.0000	0.00000	1.6165	0.84310
215	15871	1.6598	0.80044	0.0000	0.00000	1.6113	0.84910
216	15914	1.6585	0.80168	0.0000	0.00000	1.6152	0.84590
217	15956	1.6598	0.80062	0.0000	0.00000	1.6094	0.85160
218	15999	1.6602	0.79992	0.0000	0.00000	1.6126	0.84830
219	16041	1.6559	0.80502	0.0000	0.00000	1.6101	0.85060
220	16083	1.6569	0.80346	0.0000	0.00000	1.6135	0.84700
221	16126	1.6551	0.80498	0.0000	0.00000	1.6088	0.85250
222	16168	1.6563	0.80394	0.0000	0.00000	1.6081	0.85320
223	16211	1.6558	0.80494	0.0000	0.00000	1.6085	0.85260
224	16253	1.6579	0.80264	0.0000	0.00000	1.6072	0.85320
225	16296	1.6548	0.80568	0.0000	0.00000	1.6070	0.85360
226	16338	1.6543	0.80620	0.0000	0.00000	1.6094	0.85130
227	16381	1.6540	0.80594	0.0000	0.00000	1.6067	0.85400
228	16423	1.6563	0.80362	0.0000	0.00000	1.6094	0.85090
229	16465	1.6542	0.80606	0.0000	0.00000	1.6097	0.85110
230	16508	1.6545	0.80522	0.0000	0.00000	1.6132	0.84670
231	16550	1.6549	0.80560	0.0000	0.00000	1.6034	0.85820
232	16593	1.6529	0.80744	0.0000	0.00000	1.6046	0.85660
233	16635	1.6542	0.80640	0.0000	0.00000	1.6062	0.85500
234	16677	1.6534	0.80628	0.0000	0.00000	1.6041	0.85730
235	16720	1.6536	0.80698	0.0000	0.00000	1.6051	0.85630
236	16762	1.6521	0.80776	0.0000	0.00000	1.6012	0.86050
237	16804	1.6524	0.80834	0.0000	0.00000	1.6047	0.85610
238	16847	1.6504	0.80984	0.0000	0.00000	1.6047	0.85630
239	16889	1.6511	0.80910	0.0000	0.00000	1.6042	0.85590
240	16932	1.6499	0.81030	0.0000	0.00000	1.6056	0.85580
241	16974	1.6492	0.81116	0.0000	0.00000	1.6024	0.85880
242	17017	1.6488	0.81128	0.0000	0.00000	1.6061	0.85430
243	17059	1.6513	0.80908	0.0000	0.00000	1.6011	0.85990
244	17102	1.6491	0.81142	0.0000	0.00000	1.6049	0.85570
245	17144	1.6487	0.81164	0.0000	0.00000	1.6016	0.85850
246	17187	1.6482	0.81220	0.0000	0.00000	1.5987	0.86190
247	17229	1.6483	0.81206	0.0000	0.00000	1.6031	0.85840
248	17272	1.6471	0.81330	0.0000	0.00000	1.6019	0.85820
249	17314	1.6467	0.81386	0.0000	0.00000	1.6012	0.85990
250	17356	1.6474	0.81330	0.0000	0.00000	1.6027	0.85860
251	17399	1.6480	0.81214	0.0000	0.00000	1.6105	0.85000
252	17441	1.6460	0.81458	0.0000	0.00000	1.5978	0.86230
253	17483	1.6447	0.81602	0.0000	0.00000	1.6035	0.85690
254	17526	1.6454	0.81470	0.0000	0.00000	1.5999	0.86110
255	17568	1.6463	0.81420	0.0000	0.00000	1.6047	0.85580
256	17610	1.6460	0.81478	0.0000	0.00000	1.6037	0.85630
257	17653	1.6446	0.81578	0.0000	0.00000	1.6022	0.85910
258	17695	1.6462	0.81448	0.0000	0.00000	1.5983	0.86220
259	17737	1.6446	0.81524	0.0000	0.00000	1.5979	0.86260
260	17780	1.6427	0.81782	0.0000	0.00000	1.5991	0.86190
261	17822	1.6430	0.81662	0.0000	0.00000	1.5992	0.86170
262	17864	1.6420	0.81866	0.0000	0.00000	1.5983	0.86240
263	17906	1.6435	0.81720	0.0000	0.00000	1.5963	0.86410
264	17949	1.6411	0.81902	0.0000	0.00000	1.5978	0.86310
265	17991	1.6426	0.81774	0.0000	0.00000	1.6000	0.86020
266	18033	1.6424	0.81816	0.0000	0.00000	1.5985	0.86270
267	18076	1.6410	0.81980	0.0000	0.00000	1.5957	0.86540
268	18118	1.6404	0.82036	0.0000	0.00000	1.5990	0.86180
269	18160	1.6413	0.81928	0.0000	0.00000	1.5970	0.86310
270	18202	1.6397	0.82092	0.0000	0.00000	1.5986	0.86220
271	18245	1.6408	0.81994	0.0000	0.00000	1.5942	0.86580
272	18287	1.6393	0.82150	0.0000	0.00000	1.5957	0.86520
273	18329	1.6386	0.82200	0.0000	0.00000	1.5958	0.86530
274	18372	1.6388	0.82212	0.0000	0.00000	1.6014	0.85850
275	18414	1.6399	0.82046	0.0000	0.00000	1.5927	0.86850
276	18456	1.6392	0.82240	0.0000	0.00000	1.5962	0.86380
277	18499	1.6388	0.82180	0.0000	0.00000	1.5944	0.86560
278	18541	1.6398	0.82070	0.0000	0.00000	1.5980	0.86230
279	18583	1.6380	0.82260	0.0000	0.00000	1.5958	0.86500
280	18626	1.6371	0.82382	0.0000	0.00000	1.5949	0.86610
281	18668	1.6382	0.82218	0.0000	0.00000	1.5931	0.86810
282	18710	1.6372	0.82346	0.0000	0.00000	1.5915	0.86970
283	18753	1.6379	0.82218	0.0000	0.00000	1.5917	0.86980
284	18795	1.6372	0.82314	0.0000	0.00000	1.5948	0.86480
285	18837	1.6374	0.82268	0.0000	0.00000	1.5946	0.86590
286	18880	1.6369	0.82344	0.0000	0.00000	1.5938	0.86650
287	18922	1.6356	0.82470	0.0000	0.00000	1.5918	0.86910
288	18964	1.6353	0.82548	0.0000	0.00000	1.5950	0.86650
289	19007	1.6346	0.82572	0.0000	0.00000	1.5947	0.86550
290	19049	1.6339	0.82696	0.0000	0.00000	1.5926	0.86780
291	19091	1.6330	0.82708	0.0000	0.00000	1.5922	0.86810
292	19134	1.6329	0.82722	0.0000	0.00000	1.5955	0.86500
293	19176	1.6337	0.82712	0.0000	0.00000	1.5918	0.86850
294	19218	1.6338	0.82670	0.0000	0.00000	1.5926	0.86820
295	19261	1.6346	0.82592	0.0000	0.00000	1.5909	0.86960
296	19303	1.6359	0.82464	0.0000	0.00000	1.5927	0.86830
297	19345	1.6331	0.82780	0.0000	0.00000	1.5965	0.86400
298	19387	1.6323	0.82840	0.0000	0.00000	1.5931	0.86780
299	19430	1.6334	0.82742	0.0000	0.00000	1.5882	0.87240
