epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
0	41	2.2293	0.20656	0.0000	0.00000	2.1450	0.29930
1	83	2.1624	0.28406	0.0000	0.00000	2.1226	0.32500
2	124	2.1340	0.31848	0.0000	0.00000	2.0826	0.37300
3	165	2.1189	0.33330	0.0000	0.00000	2.0512	0.40150
4	207	2.1049	0.34814	0.0000	0.00000	2.0582	0.39710
5	248	2.0927	0.36122	0.0000	0.00000	2.0339	0.42340
6	290	2.0799	0.37494	0.0000	0.00000	2.0249	0.43040
7	331	2.0718	0.38398	0.0000	0.00000	2.0111	0.44530
8	373	2.0668	0.38832	0.0000	0.00000	2.0094	0.44630
9	414	2.0560	0.39864	0.0000	0.00000	1.9982	0.45810
10	456	2.0478	0.40878	0.0000	0.00000	2.0086	0.44830
11	498	2.0443	0.41192	0.0000	0.00000	1.9855	0.47070
12	539	2.0359	0.42034	0.0000	0.00000	2.0166	0.44100
13	581	2.0293	0.42690	0.0000	0.00000	1.9654	0.49420
14	622	2.0164	0.43994	0.0000	0.00000	1.9442	0.51130
15	664	2.0107	0.44614	0.0000	0.00000	1.9369	0.52210
16	705	2.0031	0.45294	0.0000	0.00000	1.9516	0.50680
17	747	1.9982	0.45840	0.0000	0.00000	1.9234	0.53470
18	789	1.9873	0.46884	0.0000	0.00000	1.9125	0.54610
19	830	1.9809	0.47564	0.0000	0.00000	1.9109	0.54620
20	872	1.9727	0.48424	0.0000	0.00000	1.9090	0.54920
21	913	1.9722	0.48474	0.0000	0.00000	1.9086	0.54840
22	955	1.9635	0.49318	0.0000	0.00000	1.9113	0.54670
23	996	1.9587	0.49764	0.0000	0.00000	1.8922	0.56620
24	1038	1.9521	0.50426	0.0000	0.00000	1.8791	0.57900
25	1080	1.9454	0.51238	0.0000	0.00000	1.8861	0.57190
26	1121	1.9422	0.51588	0.0000	0.00000	1.8755	0.58320
27	1163	1.9372	0.52036	0.0000	0.00000	1.8697	0.58980
28	1204	1.9340	0.52306	0.0000	0.00000	1.8661	0.59230
29	1246	1.9292	0.52818	0.0000	0.00000	1.8575	0.60060
30	1288	1.9279	0.53004	0.0000	0.00000	1.8539	0.60390
31	1329	1.9216	0.53652	0.0000	0.00000	1.8420	0.61560
32	1371	1.9142	0.54414	0.0000	0.00000	1.8539	0.60580
33	1413	1.9137	0.54412	0.0000	0.00000	1.8421	0.61650
34	1454	1.9067	0.55080	0.0000	0.00000	1.8328	0.62560
35	1496	1.9034	0.55374	0.0000	0.00000	1.8320	0.62670
36	1537	1.8993	0.55852	0.0000	0.00000	1.8224	0.63680
37	1579	1.8952	0.56306	0.0000	0.00000	1.8335	0.62600
38	1621	1.8974	0.56034	0.0000	0.00000	1.8267	0.63260
